Item,Gender,Measure,Gamma,Delta,Probability
wears a suit,female,existence,0.44027496268972754,2.27151932194829,0.0008
wears a suit,female,existence,0.45016447524540126,2.27151932194829,0.0008
wears a suit,female,existence,0.3653833023272455,2.27151932194829,0.0020000000000000013
wears a suit,female,existence,0.31205557892099023,2.27151932194829,0.0016
wears a suit,female,existence,0.31205557892099023,1.9908762304112315,0.0021999999999999997
wears a suit,female,existence,0.30924713611602783,1.9908762304112315,0.002999999999999998
wears a suit,female,existence,0.3606539466418326,1.9908762304112315,0.013999999999999997
wears a suit,female,existence,0.3871529728639871,1.9908762304112315,0.0009999999999999996
wears a suit,female,existence,0.30921833077445626,1.9908762304112315,0.0011999999999999988
wears a suit,female,existence,0.4002319695428014,1.9908762304112315,0.006399999999999995
wears a suit,female,existence,0.4002319695428014,2.079323714133352,0.006199999999999998
wears a suit,female,existence,0.33170938887633383,2.079323714133352,0.0004
wears a suit,female,existence,0.37418587412685156,2.079323714133352,0.0024
wears a suit,female,existence,0.37418587412685156,2.351888455450535,0.0032
wears a suit,female,existence,0.30022959876805544,2.351888455450535,0.005199999999999997
wears a suit,female,existence,0.2833260199986398,2.351888455450535,0.0016
wears a suit,female,existence,0.3826344960834831,2.351888455450535,0.009200000000000002
wears a suit,female,existence,0.34340526489540935,2.351888455450535,0.0004
wears a suit,female,existence,0.4204217961523682,2.351888455450535,0.0014000000000000006
wears a suit,female,existence,0.3166302733588964,2.351888455450535,0.0009999999999999996
wears a suit,female,existence,0.4382684133015573,2.351888455450535,0.0011999999999999988
wears a suit,female,existence,0.3501177898142487,2.351888455450535,0.0048
wears a suit,female,existence,0.3501177898142487,1.8752610078081489,0.0025999999999999986
wears a suit,female,existence,0.3345807925797999,1.8752610078081489,0.0033999999999999994
wears a suit,female,existence,0.261676357826218,1.8752610078081489,0.0005999999999999994
wears a suit,female,existence,0.33230237010866404,1.8752610078081489,0.006399999999999995
wears a suit,female,existence,0.3605493160430342,1.8752610078081489,0.006799999999999999
wears a suit,female,existence,0.40546452975831926,1.8752610078081489,0.0025999999999999986
wears a suit,female,existence,0.33445235597901046,1.8752610078081489,0.0020000000000000013
wears a suit,female,existence,0.36262634908780456,1.8752610078081489,0.0033999999999999994
wears a suit,female,existence,0.35593429394066334,1.8752610078081489,0.0005999999999999994
wears a suit,female,existence,0.3189276186749339,1.8752610078081489,0.004600000000000001
wears a suit,female,existence,0.3662804155610502,1.8752610078081489,0.0021999999999999997
wears a suit,female,existence,0.3525518444366753,1.8752610078081489,0.005400000000000001
wears a suit,female,existence,0.35405462537892163,1.8752610078081489,0.00019999999999999985
wears a suit,female,existence,0.3553787493146956,1.8752610078081489,0.0011999999999999988
wears a suit,female,existence,0.3553787493146956,1.3779655448161066,0.0122
wears a suit,female,existence,0.3908904339186847,1.3779655448161066,0.0020000000000000013
wears a suit,female,existence,0.3908904339186847,2.3396893753670156,0.0004
wears a suit,female,existence,0.31003968697041273,2.3396893753670156,0.0021999999999999997
wears a suit,female,existence,0.332498537376523,2.3396893753670156,0.011000000000000003
wears a suit,female,existence,0.3025520355440676,2.3396893753670156,0.004399999999999999
wears a suit,female,existence,0.3675117823295295,2.3396893753670156,0.002999999999999998
wears a suit,female,existence,0.38959568296559155,2.3396893753670156,0.0005999999999999994
wears a suit,female,existence,0.2773157174233347,2.3396893753670156,0.0028000000000000013
wears a suit,female,existence,0.2773157174233347,2.3228091653436422,0.0008
wears a suit,female,existence,0.27553176088258624,2.3228091653436422,0.004000000000000003
wears a suit,female,existence,0.2966020235326141,2.3228091653436422,0.0028000000000000013
wears a suit,female,existence,0.3833459645975381,2.3228091653436422,0.0004
wears a suit,female,existence,0.3833459645975381,2.4968777084723115,0.0048
wears a suit,female,existence,0.3104460702743381,2.4968777084723115,0.0035999999999999986
wears a suit,female,existence,0.3344114078208804,2.4968777084723115,0.0005999999999999994
wears a suit,female,existence,0.34172518481500447,2.4968777084723115,0.009399999999999999
wears a suit,female,existence,0.3864885629154742,2.4968777084723115,0.0004
wears a suit,female,existence,0.3660309265833348,2.4968777084723115,0.0011999999999999988
wears a suit,female,existence,0.3835571485105902,2.4968777084723115,0.0017999999999999993
wears a suit,female,existence,0.37007708800956607,2.4968777084723115,0.005000000000000001
wears a suit,female,existence,0.3404322115238756,2.4968777084723115,0.004600000000000001
wears a suit,female,existence,0.3475376225542277,2.4968777084723115,0.005000000000000001
wears a suit,female,existence,0.35337731917388737,2.4968777084723115,0.0025999999999999986
wears a suit,female,existence,0.35337731917388737,2.0362989511340857,0.0021999999999999997
wears a suit,female,existence,0.35337731917388737,2.4598447023890913,0.0017999999999999993
wears a suit,female,existence,0.3246907382272184,2.4598447023890913,0.009800000000000005
wears a suit,female,existence,0.33811129187233746,2.4598447023890913,0.0024
wears a suit,female,existence,0.33811129187233746,1.753143931273371,0.002999999999999998
wears a suit,female,existence,0.35680519766174257,1.753143931273371,0.002999999999999998
wears a suit,female,existence,0.3204767918214202,1.753143931273371,0.0020000000000000013
wears a suit,female,existence,0.36062848730944097,1.753143931273371,0.003799999999999998
