Item,Gender,Measure,Mu,Sigma,Probability
drinks coffee,female,log_ntimes,7.335788416676223,0.6613153149373829,0.0017999999999999993
drinks coffee,female,log_ntimes,6.95532635319978,0.6613153149373829,0.005999999999999996
drinks coffee,female,log_ntimes,7.3133549420163035,0.6613153149373829,0.005799999999999999
drinks coffee,female,log_ntimes,7.3133549420163035,0.6509253336116672,0.0016
drinks coffee,female,log_ntimes,7.3133549420163035,0.8011420140974224,0.0021999999999999997
drinks coffee,female,log_ntimes,7.188014285638928,0.8011420140974224,0.015400000000000002
drinks coffee,female,log_ntimes,7.188014285638928,0.6301626935601234,0.004000000000000003
drinks coffee,female,log_ntimes,7.188014285638928,0.5886264867149293,0.003799999999999998
drinks coffee,female,log_ntimes,7.098494078963995,0.5886264867149293,0.00019999999999999985
drinks coffee,female,log_ntimes,7.2875370481051505,0.5886264867149293,0.0014000000000000006
drinks coffee,female,log_ntimes,7.2875370481051505,0.9533935273066163,0.0009999999999999996
drinks coffee,female,log_ntimes,7.2875370481051505,0.5749171343632042,0.0035999999999999986
drinks coffee,female,log_ntimes,7.2875370481051505,0.6956456671468914,0.004000000000000003
drinks coffee,female,log_ntimes,7.16673519462347,0.6956456671468914,0.0008
drinks coffee,female,log_ntimes,7.095010841730982,0.6956456671468914,0.003799999999999998
drinks coffee,female,log_ntimes,7.153103507589549,0.6956456671468914,0.002999999999999998
drinks coffee,female,log_ntimes,7.153103507589549,0.5996183631941676,0.0011999999999999988
drinks coffee,female,log_ntimes,7.153103507589549,0.8226611511781812,0.007599999999999996
drinks coffee,female,log_ntimes,7.153103507589549,0.7846510037779808,0.010200000000000006
drinks coffee,female,log_ntimes,7.2924185218289495,0.7846510037779808,0.004600000000000001
drinks coffee,female,log_ntimes,7.2924185218289495,0.7540388125926256,0.0035999999999999986
drinks coffee,female,log_ntimes,7.024715933948755,0.7540388125926256,0.005400000000000001
drinks coffee,female,log_ntimes,7.205898403190076,0.7540388125926256,0.004199999999999997
drinks coffee,female,log_ntimes,7.201270696241409,0.7540388125926256,0.007999999999999997
drinks coffee,female,log_ntimes,7.201270696241409,0.7256373739801347,0.007599999999999996
drinks coffee,female,log_ntimes,7.201270696241409,0.9073073090985417,0.0004
drinks coffee,female,log_ntimes,7.434909292496741,0.9073073090985417,0.0005999999999999994
drinks coffee,female,log_ntimes,6.823148271068931,0.9073073090985417,0.006599999999999997
drinks coffee,female,log_ntimes,7.274377953726798,0.9073073090985417,0.0021999999999999997
drinks coffee,female,log_ntimes,7.274377953726798,1.0787147795781493,0.004000000000000003
drinks coffee,female,log_ntimes,7.274377953726798,0.9822018328122795,0.0024
drinks coffee,female,log_ntimes,7.183233669493347,0.9822018328122795,0.0005999999999999994
drinks coffee,female,log_ntimes,7.183233669493347,0.9293943364173174,0.0011999999999999988
drinks coffee,female,log_ntimes,7.17191596981138,0.9293943364173174,0.0096
drinks coffee,female,log_ntimes,7.014032588340342,0.9293943364173174,0.002999999999999998
drinks coffee,female,log_ntimes,7.204091583844274,0.9293943364173174,0.016400000000000005
drinks coffee,female,log_ntimes,7.204091583844274,0.6361463665962219,0.011999999999999992
drinks coffee,female,log_ntimes,7.204091583844274,0.6649660621769726,0.005799999999999999
drinks coffee,female,log_ntimes,7.063961203675717,0.6649660621769726,0.011800000000000008
drinks coffee,female,log_ntimes,7.090473771095276,0.6649660621769726,0.0056000000000000025
drinks coffee,female,log_ntimes,7.090473771095276,0.7650900119915605,0.0166
drinks coffee,female,log_ntimes,7.090473771095276,0.7576587260700762,0.008799999999999999
drinks coffee,female,log_ntimes,7.17188214417547,0.7576587260700762,0.025999999999999995
drinks coffee,female,log_ntimes,7.17188214417547,0.8137511415407062,0.004199999999999997
drinks coffee,female,log_ntimes,7.17188214417547,0.6027343473397195,0.0224
drinks coffee,female,log_ntimes,7.17188214417547,0.727115198969841,0.0106
drinks coffee,female,log_ntimes,7.17188214417547,0.6685233791358769,0.023399999999999997
drinks coffee,female,log_ntimes,7.17188214417547,0.566752371378243,0.003799999999999998
drinks coffee,female,log_ntimes,7.264144036453217,0.566752371378243,0.0016
drinks coffee,female,log_ntimes,7.264144036453217,0.8249513199552894,0.0020000000000000013
drinks coffee,female,log_ntimes,7.264144036453217,0.7542823883704841,0.004199999999999997
drinks coffee,female,log_ntimes,6.939552673138678,0.7542823883704841,0.0048
drinks coffee,female,log_ntimes,6.939552673138678,0.7245043013244867,0.004600000000000001
drinks coffee,female,log_ntimes,6.939552673138678,0.7289708941243589,0.0014000000000000006
drinks coffee,female,log_ntimes,6.939552673138678,0.6442204653285444,0.0028000000000000013
drinks coffee,female,log_ntimes,6.969903537537903,0.6442204653285444,0.006799999999999999
drinks coffee,female,log_ntimes,7.025191676802933,0.6442204653285444,0.006599999999999997
drinks coffee,female,log_ntimes,7.025191676802933,0.7815535832196474,0.009399999999999999
drinks coffee,female,log_ntimes,7.025191676802933,0.58292749337852,0.006599999999999997
drinks coffee,female,log_ntimes,7.025191676802933,0.7044009119272232,0.0056000000000000025
drinks coffee,female,log_ntimes,7.139958688057959,0.7044009119272232,0.0033999999999999994
drinks coffee,female,log_ntimes,7.126288192812353,0.7044009119272232,0.007999999999999997
drinks coffee,female,log_ntimes,7.166232701856643,0.7044009119272232,0.029399999999999996
drinks coffee,female,log_ntimes,7.070029065944254,0.7044009119272232,0.0005999999999999994
drinks coffee,female,log_ntimes,7.074981732293963,0.7044009119272232,0.0032
drinks coffee,female,log_ntimes,7.165312466677278,0.7044009119272232,0.0008
drinks coffee,female,log_ntimes,7.165312466677278,0.7799840182997286,0.007199999999999997
drinks coffee,female,log_ntimes,7.3462570970878005,0.7799840182997286,0.0011999999999999988
drinks coffee,female,log_ntimes,7.173937906045467,0.7799840182997286,0.0033999999999999994
drinks coffee,female,log_ntimes,7.173937906045467,0.5953335762023926,0.0033999999999999994
drinks coffee,female,log_ntimes,7.157239890657365,0.5953335762023926,0.0008
drinks coffee,female,log_ntimes,7.157239890657365,0.8947163913398981,0.0048
drinks coffee,female,log_ntimes,7.157239890657365,0.7685744599439204,0.005000000000000001
drinks coffee,female,log_ntimes,7.083434539381415,0.7685744599439204,0.007199999999999997
drinks coffee,female,log_ntimes,7.083434539381415,0.705867251381278,0.0122
drinks coffee,female,log_ntimes,7.083434539381415,0.7420682045631111,0.013799999999999998
drinks coffee,female,log_ntimes,7.083434539381415,0.6783326179720461,0.005799999999999999
drinks coffee,female,log_ntimes,7.274702747818083,0.6783326179720461,0.003799999999999998
drinks coffee,female,log_ntimes,7.152286130003631,0.6783326179720461,0.0008
drinks coffee,female,log_ntimes,7.169129645917565,0.6783326179720461,0.030200000000000008
drinks coffee,female,log_ntimes,7.233000262640417,0.6783326179720461,0.004199999999999997
drinks coffee,female,log_ntimes,7.1124588046222925,0.6783326179720461,0.003799999999999998
drinks coffee,female,log_ntimes,7.296927866991609,0.6783326179720461,0.021599999999999994
